GWBcode8;GWBlabel
30000;Appingedam-Centrum
30001;Appingedam-West
30002;Appingedam-Oost
30007;Verspreide huizen Damsterdiep en Eemskanaal
30008;Verspreide huizen ten zuiden van Eemskanaal
30009;Verspreide huizen ten noorden van het Damsterdiep
50000;Bedum
50001;Verspreide huizen Bedum
50002;Zuidwolde
50003;Verspreide huizen Zuidwolde
50004;Onderdendam
50005;Verspreide huizen Onderdendam
50006;Noordwolde
50007;Verspreide huizen Noordwolde
90000;Ten Boer
90001;Garmerwolde
90002;Thesinge
90003;Sint-Annen
90005;Achter-Thesinge en Bovenrijge
90009;Verspreide huizen ten noorden van het Eemskanaal
90100;Ten Post
90101;Winneweer (gedeeltelijk)
90102;Woltersum
90104;Wittewierum
90106;Lellens
90109;Verspreide huizen ten noorden van het Eemskanaal
100000;Delfzijl-Centrum
100001;Farmsum
100002;Delfzijl-Noord
100003;Delfzijl-West
100004;Fivelzigt
100005;Tuikwerd
100103;Meedhuizen
100104;Uitwierde
100107;Verspreide huizen Eemskanaal (ten zuiden)
100108;Industrieterrein
100109;Verspreide huizen in het noorden
100200;Woldendorp
100201;Termunten
100202;Termunterzijl
100203;Borgsweer
100205;Wagenborgen
100207;Verspreide huizen Wagenborgen
100209;Verspreide huizen Termunten
100300;Bierum
100301;Spijk
100302;Holwierde
100303;Godlinze
100304;Losdorp
100305;Krewerd
100309;Verspreide huizen Bierum
140000;Binnenstad-Noord
140001;Binnenstad-Zuid
140002;Binnenstad-Oost
140003;Binnenstad-West
140004;Noorderplantsoen
140005;Hortusbuurt-Ebbingekwartier
140007;UMCG
140008;Stationsgebied
140100;De Meeuwen
140101;Oosterpoort
140102;Herewegbuurt
140103;Rivierenbuurt
140104;Grunobuurt
140105;Badstratenbuurt
140106;Zeeheldenbuurt
140107;Laanhuizen
140108;Stadspark
140109;Martini Trade Park
140200;Oranjebuurt
140201;Noorderplantsoenbuurt
140202;Schildersbuurt
140203;Kostverloren
140300;De Hoogte
140301;Indische buurt
140302;Professorenbuurt
140400;Gorechtbuurt
140401;Vogelbuurt
140402;Bloemenbuurt
140403;Florabuurt
140404;Damsterbuurt
140500;De Linie
140501;Europapark
140502;Eemskanaal
140503;Kop van Oost
140504;Woonschepenhaven
140505;Driebond
140506;Eemspoort
140507;Euvelgunne
140508;Winschoterdiep
140509;Stainkoel'n
140510;Roodehaan
140511;Waterhuizen
140600;Sterrebosbuurt
140601;Coendersborg
140602;Klein Martijn
140603;Villabuurt
140604;Helpman
140605;De Wijert
140606;De Wijert-Zuid
140700;Corpus den Hoorn
140701;Hoornse Meer
140702;Hoornse Park
140703;Van Swieten
140704;Piccardthof
140705;Bruilweering
140800;Hoogkerk Dorp
140801;Hoogkerk-Zuid
140802;Westpoort
140803;Vierverlaten
140804;Zuidwending
140805;Leegkerk
140806;Gravenburg
140807;Suikerfabriekterrein
140808;Peizerweg
140809;Bangeweer
140810;De Buitenhof
140811;Kranenburg
140812;De Kring
140900;Vinkhuizen-Noord
140901;Vinkhuizen-Zuid
140902;Hoendiep
140903;Friesestraatweg
140904;Reitdiep
140905;Dorkwerd
140906;De Held
140907;Westpark
141000;Selwerd
141001;Paddepoel-Zuid
141002;Paddepoel-Noord
141003;Zernike Campus
141004;Selwerderhof
141005;Tuinwijk
141100;Beijum-West
141101;Beijum-Oost
141102;De Hunze
141103;Van Starkenborgh
141104;Noorderhoogebrug
141105;Het Witte Lam
141106;Koningslaagte
141107;Hunzeboord
141200;Lewenborg-Noord
141201;Lewenborg-Zuid
141202;Lewenborg-West
141203;Oosterhoogebrug
141204;Ulgersmaborg
141205;Hunzepark
141206;Zilvermeer
141207;Kardinge
141208;Drielanden
141209;Noorddijk
141210;Ruischerbrug
141211;Ruischerwaard
141300;Middelbert
141301;Engelbert
141302;Klein Harkstede
141400;Meeroevers
141401;Harkstede GN
141402;Lageland GN
141403;Groenewei
141404;Tersluis
141405;De Zeilen
141406;De Wierden
150000;Grootegast
150001;Doezum
150002;Sebaldeburen
150006;Het Peebos
150007;Verspreide huizen ten zuiden van Sebaldeburen
150008;Verspreide huizen ten zuiden van Grootegast
150009;Overige verspreide huizen
150100;Lutjegast
150109;Verspreide huizen Lutjegast
150200;Opende-West
150201;Opende-Oost
150202;Kornhorn
150209;Verspreide huizen ten zuiden van Opende
150300;Niekerk
150301;Oldekerk
150309;Verspreide huizen Oldekerk
170000;Haren
170001;Oosterhaar
170002;Voorveld
170003;Harenermolen
170004;Glimmen
170005;Hemmen
170100;Noordlaren
170101;Onnen
170102;Paterswolde (gedeeltelijk)
170103;Essen
170106;Verspreide huizen ten westen van Noord-Willemskan
170107;Verspreide huizen op de Hondsrug
170108;Verspreide huizen Onner Esch
170109;Verspreide huizen ten oosten van de Hondsrug
220001;Diepswal
220002;Centrum Leek en omgeving
220003;Rodenburg en omgeving
220004;Nienoordsrand
220008;Buitengebied ten oosten van Leek
220009;Buitengebied ten zuiden van Leek
220100;Bebouwde kom Zevenhuizen
220101;De Haspel
220102;Drostinnewijk
220103;Boerenstreek
220107;Buitengebied ten noorden van Zevenhuizen
220108;Buitengebied ten oosten van Zevenhuizen
220109;Buitengebied ten westen van Zevenhuizen
220200;Bebouwde kom Tolbert
220201;Sint Maheerdt
220209;Buitengebied Tolbert
220400;Bebouwde kom Midwolde
220401;Pasop
220409;Buitengebied Midwolde
220500;Bebouwde kom Lettelbert
220509;Buitengebied Lettelbert
220600;Bebouwde kom Oostwold
220609;Buitengebied-Oostwold
