GWBcode8;GWBlabel
300;Wijk 00
500;Wijk 00
900;Wijk 00 West
901;Wijk 01 Oost
1000;Wijk 00 Stad
1001;Wijk 01 Land
1002;Wijk 02
1003;Wijk 03
1400;Centrum
1401;Oud-Zuid
1402;Oud-West
1403;Oud-Noord
1404;Oosterparkwijk
1405;Zuidoost
1406;Helpman e.o.
1407;Zuidwest
1408;Hoogkerk e.o.
1409;Nieuw-West
1410;Noordwest
1411;Noordoost
1412;Noorddijk e.o.
1413;Meerdorpen
1414;Meerstad e.o.
1500;Wijk 00 Grootegast
1501;Wijk 01 Lutjegast
1502;Wijk 02 Opende
1503;Wijk 03 Oldekerk
1700;Wijk 00 Centrum
1701;Wijk 01 Land
2200;Wijk 00 Leek
2201;Wijk 01 Zevenhuizen
2202;Wijk 02 Tolbert
2204;Wijk 04 Midwolde
2205;Wijk 05 Lettelbert
2206;Wijk 06 Oostwold
2207;Wijk 07 Enumatil
2400;Wijk 00
2401;Wijk 01 Stedum
2402;Wijk 02 Middelstum
2403;Wijk 03 't Zandt
2500;Wijk 00 Marum
2501;Wijk 01 De Wilp
3401;Wijk 01 Almere Haven
3402;Wijk 02 Almere Stad
3403;Wijk 03 Almere Buiten
3404;Wijk 04 Almere Poort
3405;Wijk 05 Almere Hout
3406;Wijk 06 Almere Pampus
3701;Stadskanaal
3702;Musselkanaal
3703;Onstwedde
3704;Mussel
3705;Alteveer
4700;Wijk 00 Veendam-kern
4701;Wijk 01 Veendam-buitengebied
4702;Wijk 02 Wildervank
5000;Wijk 00
5300;Wijk 00
5301;Wijk 01
5302;Wijk 02
5303;Wijk 03
5600;Wijk 00
5601;Wijk 01
5602;Wijk 02
5603;Wijk 03
5800;Dokkum
5801;Metslawier
5802;Ee - Zuidoost
5803;Anjum - Noordoost
5804;Oosternijkerk - Noordwest
5805;Ternaard
5806;Holwerd
5807;Hantum
5900;Wijk 00 Noord
5901;Wijk 01 Centrum
5902;Wijk 02 Zuid
6000;Wijk 00
7200;Wijk 00 Harlingen
7201;Wijk 01 Midlum
7202;Wijk 02 Wijnaldum
7401;Wijk 01 Heerenveen
7402;Wijk 02 Noord-Heerenveen
7403;Wijk 03 Hoornsterzwaag
7404;Wijk 04 Jubbega
7406;Wijk 06 Oranjewoud
7407;Skarsterlân
7409;Boarnsterhim
7900;Wijk 00 Kollum
7901;Wijk 01 Oost
7902;Wijk 02 Noordwest
7903;Wijk 03 Zuidwest
8010;Binnenstad
8011;Potmargezone
8020;Oud-Oost
8030;Sonnenborgh e.o.
8031;Westeinde e.o.
8032;Vossepark & Helicon
8040;Huizum-West
8041;Nijlân & De Zwette
8050;Heechterp & Schieringen
8051;Camminghaburen e.o.
8060;Bilgaard & Havankpark e.o.
8061;Vrijheidswijk
8062;Dokkumer Ie e.o.
8063;Stiens e.o.
8070;Aldlân & De Hemrik
8071;Goutum
8072;Hempens/Teerns & Zuiderburen
8073;De Zuidlanden
8074;Middelsee
8080;Dorpen Zuid-Oost
8081;Dorpen Zuid-West
8082;Grou e.o.
8500;Wijk 00 Oosterwolde
8501;Wijk 01 Donkerbroek
8502;Wijk 02 Makkinga
8503;Wijk 03 Oldeberkoop
8504;Wijk 04 Haulerwijk
8505;Wijk 05 Appelscha
8600;Wijk 00 Gorredijk
8601;Wijk 01 Langezwaag
8602;Wijk 02 Terwispel
8603;Wijk 03 Beetsterzwaag
8604;Wijk 04 Ureterp
8605;Wijk 05 Bakkeveen
8800;Wijk 00
9000;Wijk 00 Drachten
9001;Wijk 01 Overig Smallingerland
9300;Wijk 00 West-Terschelling
9301;Wijk 01 Midsland
9302;Wijk 02 Formerum
9303;Wijk 03 Lies
9304;Wijk 04 Hoorn
9305;Wijk 05 Oosterend
9600;Wijk 00
9800;Wijk 00 Wolvega
9801;Wijk 01 Sonnega
9802;Wijk 02 Helomavaart
9803;Wijk 03 Munnekeburen
9804;Wijk 04 Scherpenzeel
9805;Wijk 05 Oldeholtpade
9806;Wijk 06 Blesdijke
9807;Wijk 07 Steggerda
9808;Wijk 08 Noordwolde
10600;Wijk 00 Assen centrum
10601;Wijk 01 Lariks
10602;Wijk 02 Noorderpark
10603;Wijk 03 Assen Oost
10604;Wijk 04 Pittelo
10605;Wijk 05 Assen West
10606;Wijk 06 Peelo
10607;Wijk 07 Marsdijk
10608;Wijk 08 Kloosterveen
10699;Wijk 99 Buitengebied
10910;Wijk 10 Coevorden
10911;Wijk 11 Steenwijksmoer
10912;Wijk 12 Nieuwe Krim
10913;Wijk 13 Weijerswold
10914;Wijk 14 Vlieghuis en Padhuis
10920;Wijk 20 Dalen
10930;Wijk 30 Oosterhesselen
10940;Wijk 40 Sleen
10950;Wijk 50 Zweeloo
11401;Wijk 01 Nieuw-Weerdinge
11402;Wijk 02 Roswinkel
11403;Wijk 03 Emmer-Compascuum
11404;Wijk 04 Barger-Compascuum
11405;Wijk 05 Nieuw-Dordrecht
11406;Wijk 06 Nieuw-Amsterdam
11407;Wijk 07 Erica
11408;Wijk 08 Klazienaveen
11409;Wijk 09 Zwartemeer
11410;Wijk 10 Schoonebeek
11413;Wijk 13 Veenoord
11421;Wijk 21 Nieuw-Schoonebeek
11432;Wijk 32 Weiteveen
11440;Wijk 40 Emmen-Centrum
11441;Wijk 41 Emmen-Centrum Oost
11442;Wijk 42 Emmermeer
11443;Wijk 43 Angelslo
11444;Wijk 44 Emmerhout
11445;Wijk 45 Emmerschans
11446;Wijk 46 Bargeres
11447;Wijk 47 Rietlanden
11448;Wijk 48 Parc Sandur
11449;Wijk 49 Delftlanden
11450;Wijk 50 Barger-Oosterveld
11451;Wijk 51 Kern Emmen Noord
11452;Wijk 52 Kern Emmen Zuid
11453;Wijk 53 Kern Emmen Industrieterreinen
11850;Wijk 50 Hoogeveen
11851;Wijk 51 De Weide
11852;Wijke 52 Fluitenberg
11853;Wijk 53 Elim
11854;Wijk 54 Hollandscheveld
11855;Wijk 55 Noordscheschut
11856;Wijk 56 Nieuwlande
11857;Wijk 57 Nieuweroord
11858;Wijk 58 Tiendeveen
11859;Wijk 59 Stuifzand
11860;Wijk 60 Pesse
11861;Wijk 61 Zuideropgaande Nieuw Moscou
11862;Wijk 62 Industrie- en verspreide gebieden
11900;Centrum
11901;Watertoren
11902;Haveltermade
11903;Koedijkslanden
11904;Berggierslanden
11905;Ezinge
11906;Oosterboer
11907;Nieuwveenselanden
11908;Blankenstein
11909;Industrieterrein Noord
11910;Industrie Oevers
11911;Verspreid gebied Meppel
11912;Nijeveen
11913;Rogat
14110;Wijk 10 Binnenstad
14111;Wijk 11 De Riet
14112;Wijk 12 Noorderkwartier
14113;Wijk 13 Sluitersveld
14114;Wijk 14 Wierdense Hoek
14115;Wijk 15 Nieuwstraat-Kwartier
14116;Wijk 16 Ossenkoppelerhoek
14117;Wijk 17 Hofkamp
14118;Wijk 18 Schelfhorst
14119;Wijk 19 Windmolenbroek
14120;Wijk 20 Aadorp
14121;Wijk 21 Bornerbroek
14700;Wijk 00 Borne
14701;Wijk 01 Buitengebied Borne
14801;Dalfsen
14802;Nieuwleusen
14803;Lemelerveld
15001;Wijk 1 Binnenstad
15002;Wijk 2 De Hoven
15003;Wijk 3 Zandweerd
15004;Wijk 4 Voorstad
15005;Wijk 5 Borgele en Platvoet
15006;Wijk 6 Keizerslanden
15007;Wijk 7 Rivierenwijk en Bergweide
15008;Wijk 8 Colmschate-Noord
15009;Wijk 9 Colmschate-Vijfhoek
15010;Wijk 10 Colmschate-Zuid
15011;Wijk 11 Diepenveen
15012;Wijk 12 Schalkhaar
15013;Wijk 13 Okkenbroek
15014;Wijk 14 Lettele
15015;Wijk 15 Bathmen
15300;Wijk 00 Binnensingelgebied
15301;Wijk 01 Hogeland - Velve
15302;Wijk 02 Boswinkel - Stadsveld
15303;Wijk 03 Twekkelerveld - T.H.T.
15304;Wijk 04 Enschede-Noord
15305;Wijk 05 Ribbelt - Stokhorst
15306;Wijk 06 Enschede-Zuid
15307;Wijk 07 Bedrijfsterreinen Enschede-West
15308;Wijk 08 Glanerbrug en omgeving
15309;Wijk 09 Landelijk gebied en kernen
15800;Wijk 00 Haaksbergen (dorp)
15801;Wijk 01 Haaksbergen (buitengebied)
15802;Wijk 02 Sint Isidorushoeve
15803;Wijk 03 Buurse
15804;Wijk 04 Rietmolen
15805;Wijk 05 Hengevelde
15806;Wijk 06 Beckum
15809;Wijk 09 Haaksbergen-kern
16001;Ane
16002;Anerveen
16003;Anevelde
16004;Balkbrug
16005;Bergentheim
16006;Brucht
16007;Collendoorn
16008;De Krim
16009;Dedemsvaart
16010;Den Velde
16011;Diffelen
16012;Gramsbergen
16013;Heemserveen
16014;Holtheme
16015;Holthone
16016;Hoogenweg
16017;Kloosterhaar
16018;Loozen
16019;Lutten
16020;Marienberg
16021;Radewijk
16022;Rheeze
16023;Rheezerveen
16024;Schuinesloot
16025;Sibculo
16026;Slagharen
16027;Venebrugge
16028;Hardenberg
16029;Bruchterveld
16301;Wijk 01 Hellendoorn
16302;Wijk 02 Nijverdal Noord
16303;Wijk 03 Nijverdal West
16304;Wijk 04 Nijverdal Oost
16305;Wijk 05 Buitengebied
